island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,species
Dream,33.1,16.1,178.0,2900.0,female,2008,Adelie
Biscoe,49.8,15.9,229.0,5950.0,male,2009,Gentoo
Dream,43.2,16.6,187.0,2900.0,female,2007,Chinstrap
Torgersen,36.2,16.1,187.0,3550.0,female,2008,Adelie
Biscoe,35.9,19.2,189.0,3800.0,female,2007,Adelie
Dream,52.2,18.8,197.0,3450.0,male,2009,Chinstrap
Biscoe,48.4,14.4,203.0,4625.0,female,2009,Gentoo
Torgersen,42.0,20.2,190.0,4250.0,,2007,Adelie
Biscoe,42.6,13.7,213.0,4950.0,female,2008,Gentoo
Dream,37.0,16.9,185.0,3000.0,female,2007,Adelie
Dream,41.5,18.5,201.0,4000.0,male,2009,Adelie
Torgersen,37.2,19.4,184.0,3900.0,male,2008,Adelie
Dream,45.4,18.7,188.0,3525.0,female,2007,Chinstrap
Torgersen,41.1,17.6,182.0,3200.0,female,2007,Adelie
Biscoe,46.1,13.2,211.0,4500.0,female,2007,Gentoo
Dream,46.9,16.6,192.0,2700.0,female,2008,Chinstrap
Torgersen,42.8,18.5,195.0,4250.0,male,2008,Adelie
Dream,40.2,17.1,193.0,3400.0,female,2009,Adelie
Biscoe,41.0,20.0,203.0,4725.0,male,2009,Adelie
Biscoe,43.4,14.4,218.0,4600.0,female,2009,Gentoo
Biscoe,48.8,16.2,222.0,6000.0,male,2009,Gentoo
Torgersen,37.3,20.5,199.0,3775.0,male,2009,Adelie
Dream,36.8,18.5,193.0,3500.0,female,2009,Adelie
Dream,37.5,18.9,179.0,2975.0,,2007,Adelie
Torgersen,39.7,18.4,190.0,3900.0,male,2008,Adelie
Torgersen,34.6,17.2,189.0,3200.0,female,2008,Adelie
Biscoe,47.8,15.0,215.0,5650.0,male,2007,Gentoo
Dream,49.8,17.3,198.0,3675.0,female,2009,Chinstrap
Biscoe,49.4,15.8,216.0,4925.0,male,2009,Gentoo
Biscoe,43.8,13.9,208.0,4300.0,female,2008,Gentoo
Biscoe,46.2,14.9,221.0,5300.0,male,2008,Gentoo
Biscoe,50.4,15.7,222.0,5750.0,male,2009,Gentoo
Dream,46.5,17.9,192.0,3500.0,female,2007,Chinstrap
Dream,40.3,18.5,196.0,4350.0,male,2008,Adelie
Dream,50.8,19.0,210.0,4100.0,male,2009,Chinstrap
Torgersen,37.8,17.3,180.0,3700.0,,2007,Adelie
Biscoe,43.3,14.0,208.0,4575.0,female,2009,Gentoo
Dream,50.2,18.8,202.0,3800.0,male,2009,Chinstrap
Biscoe,43.6,13.9,217.0,4900.0,female,2008,Gentoo
Biscoe,37.9,18.6,172.0,3150.0,female,2007,Adelie
Torgersen,34.6,21.1,198.0,4400.0,male,2007,Adelie
Biscoe,46.4,15.0,216.0,4700.0,female,2008,Gentoo
Biscoe,50.1,15.0,225.0,5000.0,male,2008,Gentoo
Dream,41.3,20.3,194.0,3550.0,male,2008,Adelie
Biscoe,46.8,16.1,215.0,5500.0,male,2009,Gentoo
Dream,54.2,20.8,201.0,4300.0,male,2008,Chinstrap
Torgersen,39.3,20.6,190.0,3650.0,male,2007,Adelie
Dream,52.0,20.7,210.0,4800.0,male,2008,Chinstrap
Biscoe,46.1,15.1,215.0,5100.0,male,2007,Gentoo
Biscoe,45.8,14.6,210.0,4200.0,female,2007,Gentoo
Dream,36.3,19.5,190.0,3800.0,male,2008,Adelie
Dream,37.3,16.8,192.0,3000.0,female,2009,Adelie
Biscoe,48.2,14.3,210.0,4600.0,female,2007,Gentoo
Biscoe,45.5,14.5,212.0,4750.0,female,2009,Gentoo
Biscoe,46.5,13.5,210.0,4550.0,female,2007,Gentoo
Biscoe,49.5,16.2,229.0,5800.0,male,2008,Gentoo
Torgersen,39.0,17.1,191.0,3050.0,female,2009,Adelie
Dream,39.7,17.9,193.0,4250.0,male,2009,Adelie
Torgersen,35.9,16.6,190.0,3050.0,female,2008,Adelie
Biscoe,45.5,15.0,220.0,5000.0,male,2008,Gentoo
Dream,38.3,19.2,189.0,3950.0,male,2008,Adelie
Biscoe,45.5,13.7,214.0,4650.0,female,2007,Gentoo
Torgersen,40.2,17.0,176.0,3450.0,female,2009,Adelie
Biscoe,53.4,15.8,219.0,5500.0,male,2009,Gentoo
Dream,52.7,19.8,197.0,3725.0,male,2007,Chinstrap
Torgersen,42.9,17.6,196.0,4700.0,male,2008,Adelie
Biscoe,54.3,15.7,231.0,5650.0,male,2008,Gentoo
Dream,39.0,18.7,185.0,3650.0,male,2009,Adelie
Dream,37.0,16.5,185.0,3400.0,female,2009,Adelie
Dream,38.1,18.6,190.0,3700.0,female,2008,Adelie
Torgersen,36.7,19.3,193.0,3450.0,female,2007,Adelie
Biscoe,40.6,18.6,183.0,3550.0,male,2007,Adelie
Biscoe,52.1,17.0,230.0,5550.0,male,2009,Gentoo
Dream,39.2,18.6,190.0,4250.0,male,2009,Adelie
Dream,49.0,19.6,212.0,4300.0,male,2009,Chinstrap
Biscoe,50.0,15.9,224.0,5350.0,male,2009,Gentoo
Torgersen,40.3,18.0,195.0,3250.0,female,2007,Adelie
Dream,46.7,17.9,195.0,3300.0,female,2007,Chinstrap
Biscoe,39.7,18.9,184.0,3550.0,male,2009,Adelie
Biscoe,48.5,15.0,219.0,4850.0,female,2009,Gentoo
Biscoe,35.0,17.9,190.0,3450.0,female,2008,Adelie
Dream,36.2,17.3,187.0,3300.0,female,2008,Adelie
Dream,51.7,20.3,194.0,3775.0,male,2007,Chinstrap
Biscoe,42.9,13.1,215.0,5000.0,female,2007,Gentoo
Dream,42.5,16.7,187.0,3350.0,female,2008,Chinstrap
Biscoe,50.5,15.9,225.0,5400.0,male,2008,Gentoo
Dream,51.3,19.9,198.0,3700.0,male,2007,Chinstrap
Biscoe,50.7,15.0,223.0,5550.0,male,2008,Gentoo
Torgersen,35.1,19.4,193.0,4200.0,male,2008,Adelie
Dream,37.2,18.1,178.0,3900.0,male,2007,Adelie
Biscoe,41.4,18.6,191.0,3700.0,male,2008,Adelie
Dream,42.5,17.3,187.0,3350.0,female,2009,Chinstrap
Dream,39.8,19.1,184.0,4650.0,male,2007,Adelie
Biscoe,45.2,14.8,212.0,5200.0,female,2009,Gentoo
Dream,51.4,19.0,201.0,3950.0,male,2009,Chinstrap
Dream,36.5,18.0,182.0,3150.0,female,2007,Adelie
Biscoe,42.7,13.7,208.0,3950.0,female,2008,Gentoo
Dream,50.3,20.0,197.0,3300.0,male,2007,Chinstrap
Biscoe,48.6,16.0,230.0,5800.0,male,2008,Gentoo
Torgersen,41.4,18.5,202.0,3875.0,male,2009,Adelie
Dream,47.0,17.3,185.0,3700.0,female,2007,Chinstrap
Biscoe,49.6,15.0,216.0,4750.0,male,2008,Gentoo
Torgersen,38.6,21.2,191.0,3800.0,male,2007,Adelie
Dream,45.7,17.3,193.0,3600.0,female,2009,Chinstrap
Biscoe,45.2,13.8,215.0,4750.0,female,2008,Gentoo
Biscoe,49.1,15.0,228.0,5500.0,male,2009,Gentoo
Torgersen,39.5,17.4,186.0,3800.0,female,2007,Adelie
Dream,50.1,17.9,190.0,3400.0,female,2009,Chinstrap
Torgersen,39.1,18.7,181.0,3750.0,male,2007,Adelie
Biscoe,50.4,15.3,224.0,5550.0,male,2008,Gentoo
Dream,50.7,19.7,203.0,4050.0,male,2009,Chinstrap
Biscoe,49.3,15.7,217.0,5850.0,male,2007,Gentoo
Biscoe,46.3,15.8,215.0,5050.0,male,2007,Gentoo
